run,benchmark_id,benchmark_name,algorithm,seed,archive_size,best_sum,mean_sum,min_f1,min_f2,spacing,hypervolume,time
1,ZDT2,ZDT2 双目标函数,MOABC,2228001041,100,1.0,1.1682491524140732,0.0,0.0,0.003846478561245917,0.5381665914764543,34.07646930000192
2,ZDT2,ZDT2 双目标函数,MOABC,651368138,100,1.0,1.1688966518677264,0.0,0.0,0.003342887308655375,0.5380803604763503,32.349246999998286
3,ZDT2,ZDT2 双目标函数,MOABC,2355761884,100,1.0,1.1696485678667428,0.0,0.0,0.008253932815820235,0.5381589223735054,33.74714829999721
4,ZDT2,ZDT2 双目标函数,MOABC,1914046902,100,1.0,1.1635858667000856,0.0,0.0,0.0051485832652929725,0.5379842559048513,31.697981700002856
5,ZDT2,ZDT2 双目标函数,MOABC,1146196620,100,1.0,1.1665372618568752,0.0,0.0,0.0038015583952842615,0.5381490687851846,33.802421200001845
6,ZDT2,ZDT2 双目标函数,MOABC,3798929590,100,1.0,1.165777108630893,0.0,0.0,0.004241769749854931,0.5381827565067054,32.349319499997364
7,ZDT2,ZDT2 双目标函数,MOABC,3640777543,100,1.0,1.1639151462975923,0.0,0.0,0.004542839437341726,0.5380052879520966,32.99906180000107
8,ZDT2,ZDT2 双目标函数,MOABC,14356651,100,1.0,1.1658619489904942,0.0,0.0,0.0036107174215087223,0.5381182895912446,33.25473110000166
9,ZDT2,ZDT2 双目标函数,MOABC,3704445712,100,1.0,1.1621612271392163,0.0,0.0,0.0039984723930357145,0.5381668179897097,32.51834740000049
10,ZDT2,ZDT2 双目标函数,MOABC,3195258346,100,1.0,1.16617673719929,0.0,0.0,0.003908998742107049,0.538120391747805,32.71911540000292
1,ZDT2,ZDT2 双目标函数,MOGABC,2228001041,100,1.0,1.1613047664006293,0.0,0.0,0.0040091402560686554,0.5382956559253952,56.05017840000073
2,ZDT2,ZDT2 双目标函数,MOGABC,651368138,100,1.0,1.175074501340179,0.0,0.0,0.007893860075142839,0.5376513427522708,54.99906390000251
3,ZDT2,ZDT2 双目标函数,MOGABC,2355761884,100,1.0,1.1657935351860516,0.0,0.0,0.004067024357206283,0.5379790323285742,52.48051670000132
4,ZDT2,ZDT2 双目标函数,MOGABC,1914046902,100,1.0,1.1660394449364362,0.0,0.0,0.004288796541814996,0.538286890943044,56.14196719999745
5,ZDT2,ZDT2 双目标函数,MOGABC,1146196620,100,1.0,1.1661207277307324,0.0,0.0,0.003860819710967127,0.537940626467003,56.68027580000489
6,ZDT2,ZDT2 双目标函数,MOGABC,3798929590,100,1.0,1.1640064503649519,0.0,0.0,0.003990991427671409,0.5377476502448371,57.36820940000325
7,ZDT2,ZDT2 双目标函数,MOGABC,3640777543,100,1.0,1.1645194336675906,0.0,0.0,0.004522105767430271,0.5379560965914791,53.19521309999982
8,ZDT2,ZDT2 双目标函数,MOGABC,14356651,100,1.0,1.1711545484475885,0.0,0.0,0.006397898665144722,0.5384065545342777,53.87155789999815
9,ZDT2,ZDT2 双目标函数,MOGABC,3704445712,100,1.0,1.1719780428763287,0.0,0.0,0.005457550241937469,0.5377867182418087,54.774347300000954
10,ZDT2,ZDT2 双目标函数,MOGABC,3195258346,100,1.0,1.1653741823271166,0.0,0.0,0.0036554109054543257,0.538101658470769,54.50994850000279
