run,benchmark_id,benchmark_name,algorithm,seed,archive_size,best_sum,mean_sum,min_f1,min_f2,spacing,hypervolume,time
1,ZDT6,ZDT6 双目标函数,MOABC,785294635,100,1.0,1.176746421688951,0.2807840121549732,0.0,0.0036535099360815227,0.503786919477738,58.03534299999592
2,ZDT6,ZDT6 双目标函数,MOABC,763889252,100,1.0,1.1790801930211092,0.28078107160683363,0.0,0.00459815848611582,0.5038166155127072,60.13404040000023
3,ZDT6,ZDT6 双目标函数,MOABC,1500031399,100,1.0,1.1765729815815165,0.2808748713076251,0.0,0.003909377230274762,0.503898277270042,58.42457920000015
4,ZDT6,ZDT6 双目标函数,MOABC,23766893,100,1.0,1.180352323291582,0.28077590915226436,0.0,0.0042381234803024114,0.504061095671366,58.226352300000144
5,ZDT6,ZDT6 双目标函数,MOABC,1176643527,100,1.0,1.1800760657963394,0.2807801180486563,0.0,0.0036729394971779803,0.5039184207529287,58.07255609999993
6,ZDT6,ZDT6 双目标函数,MOABC,2325491872,100,1.0,1.1827683455775675,0.28077990853726364,0.0,0.004438976933161434,0.5038362799873762,55.851414299999306
7,ZDT6,ZDT6 双目标函数,MOABC,3027168609,100,1.0,1.1836920213083308,0.2807780515035989,0.0,0.03399525296584802,0.5036305543750853,58.13820310000301
8,ZDT6,ZDT6 双目标函数,MOABC,3168031891,100,1.0,1.1796605635057318,0.28081746398240226,0.0,0.0053529298683780745,0.5038766483790256,58.887676099999226
9,ZDT6,ZDT6 双目标函数,MOABC,1269089345,100,1.0,1.176123297933331,0.2807753446237702,0.0,0.0055126660775485815,0.5036298114746172,61.52348730000085
10,ZDT6,ZDT6 双目标函数,MOABC,2772833162,100,1.0,1.1895444086632765,0.28077847900960007,0.0,0.06400519759026166,0.5036453052558666,64.32414130000689
1,ZDT6,ZDT6 双目标函数,MOGABC,785294635,100,1.0,1.2604626672687076,0.28077547540672365,0.0,0.7253089390777766,0.5038897894068336,84.44338820000121
2,ZDT6,ZDT6 双目标函数,MOGABC,763889252,100,1.0,1.2585342375334025,0.28077532412870887,0.0,0.7222549000728533,0.5041323760534161,82.51994939999713
3,ZDT6,ZDT6 双目标函数,MOGABC,1500031399,100,1.0,1.3190084510435442,0.2807813604059304,0.0,0.017615042924105973,0.5038758373795696,81.3438868000012
4,ZDT6,ZDT6 双目标函数,MOGABC,23766893,100,1.0,1.1806253932554074,0.2807754711712783,0.0,0.003711571899998622,0.5041831972127039,80.597228300001
5,ZDT6,ZDT6 双目标函数,MOGABC,1176643527,100,1.0,1.3216181657101347,0.28077567742444687,0.0,0.3386550070159839,0.5040904701268429,84.49611749999895
6,ZDT6,ZDT6 双目标函数,MOGABC,2325491872,100,1.0,1.3557625696310616,0.2808029431649336,0.0,0.17248484805428746,0.5037918835808338,81.5673736999961
7,ZDT6,ZDT6 双目标函数,MOGABC,3027168609,100,1.0,1.3840300516655546,0.28077563138320205,0.0,0.2309666346317215,0.5037293719456754,86.78089990000444
8,ZDT6,ZDT6 双目标函数,MOGABC,3168031891,100,1.0,1.177131075718706,0.28077609816397686,0.0,0.003766860670007362,0.5041094699755222,83.61646350000228
9,ZDT6,ZDT6 双目标函数,MOGABC,1269089345,100,1.0,1.1800582130129096,0.28077532768776836,0.0,0.004006650546698468,0.5041640309381588,86.10482179999963
10,ZDT6,ZDT6 双目标函数,MOGABC,2772833162,100,1.0,1.2643628323642817,0.28078713718560355,0.0,0.7680578657991591,0.5042369754579057,83.48430070000177
