run,benchmark_id,benchmark_name,algorithm,seed,archive_size,best_sum,mean_sum,min_f1,min_f2,spacing,hypervolume,time
1,ZDT4,ZDT4 双目标函数,MOABC,1121998699,100,0.7500002876539974,0.8312035638309877,0.0,0.0,0.008599544027920866,131.66123884516975,45.46801669999695
2,ZDT4,ZDT4 双目标函数,MOABC,3465628830,100,0.750024117778751,0.829092393215689,0.0,0.0,0.010004381138147346,131.66104572936408,42.45988909999869
3,ZDT4,ZDT4 双目标函数,MOABC,3829742219,100,0.7500286669558294,0.834066466602673,0.0,0.0,0.006813242308324815,131.66155215116927,40.003473299999314
4,ZDT4,ZDT4 双目标函数,MOABC,2668995955,100,0.7500123025093686,0.8344996358447893,0.0,0.0,0.005412939627563183,131.66144968719613,42.66561670000374
5,ZDT4,ZDT4 双目标函数,MOABC,2771647640,100,0.7500129593348045,0.8297471220328693,0.0,0.0,0.0034518768765760964,131.6615119860399,39.0349095000056
6,ZDT4,ZDT4 双目标函数,MOABC,2450973497,100,0.750003589110444,0.8396051304172839,0.0,0.0,0.003864528418436429,131.6615574754141,40.16940919999615
7,ZDT4,ZDT4 双目标函数,MOABC,1129040437,100,0.7500707067353277,0.8275669981110779,0.0,0.0,0.008303508924993732,131.66113305862046,43.78283119999833
8,ZDT4,ZDT4 双目标函数,MOABC,44526417,100,0.750000225139027,0.8362575946722274,0.0,0.0,0.00452413632261844,131.66155800707583,41.19771609999589
9,ZDT4,ZDT4 双目标函数,MOABC,1735391972,100,0.7500005550210727,0.8287564262986536,0.0,0.0,0.009979641177355463,131.66022159769363,40.308268699998735
10,ZDT4,ZDT4 双目标函数,MOABC,3766235699,100,0.750000621578344,0.8328887557096947,0.0,0.0,0.006408822923856565,131.66145156346482,41.96701399999438
1,ZDT4,ZDT4 双目标函数,MOGABC,1121998699,100,0.7500151337670589,0.8302124395881628,0.0,0.0,0.004359462478995372,131.66147957569444,79.09106580000662
2,ZDT4,ZDT4 双目标函数,MOGABC,3465628830,100,0.7500027162277102,0.8374675390191604,0.0,0.0,0.0041638655624965815,131.66159981028875,68.70568709999498
3,ZDT4,ZDT4 双目标函数,MOGABC,3829742219,100,0.7500060836995941,0.835935987429886,0.0,0.0,0.004223051247055349,131.66167418747185,72.87731840000197
4,ZDT4,ZDT4 双目标函数,MOGABC,2668995955,100,0.7500339440326578,0.8348334578925325,0.0,0.0,0.004059574479455146,131.66161499548724,69.71997700000065
5,ZDT4,ZDT4 双目标函数,MOGABC,2771647640,100,0.7500003013341091,0.8325283885769669,0.0,0.0,0.0037483796043665018,131.66146713375477,74.467430100005
6,ZDT4,ZDT4 双目标函数,MOGABC,2450973497,100,0.7500064003015547,0.8335131685632656,0.0,0.0,0.004029800070508789,131.66145706531276,73.16812499999651
7,ZDT4,ZDT4 双目标函数,MOGABC,1129040437,100,0.7500004481396163,0.8366145898435472,0.0,0.0,0.003902416182235557,131.66163702592468,76.59513210000296
8,ZDT4,ZDT4 双目标函数,MOGABC,44526417,100,0.7500020403897559,0.8386013176981969,0.0,0.0,0.003790179909257796,131.66134469595738,75.45796300000075
9,ZDT4,ZDT4 双目标函数,MOGABC,1735391972,100,0.7500034890053779,0.8353713769998338,0.0,0.0,0.003794148043245208,131.66159672928515,75.88568209999357
10,ZDT4,ZDT4 双目标函数,MOGABC,3766235699,100,0.7500010759562594,0.8320667424408693,0.0,0.0,0.004028300647656161,131.66159810395587,71.70274849999987
