run,benchmark_id,benchmark_name,algorithm,seed,archive_size,best_sum,mean_sum,min_f1,min_f2,spacing,hypervolume,time
1,ZDT1,ZDT1 双目标函数,MOABC,1656798971,100,0.7500309106108335,0.8302610244504297,0.0,0.0,0.00428883489425502,0.8715968795798632,45.64651050000248
2,ZDT1,ZDT1 双目标函数,MOABC,2276164540,100,0.7501514287120672,0.8312762623023247,0.0,0.0,0.005485241168425881,0.8713462778836171,45.629130500004976
3,ZDT1,ZDT1 双目标函数,MOABC,2013001186,100,0.7500745412345311,0.8333887448316513,0.0,0.0,0.0051577440663166715,0.8715456803858581,44.69739380000101
4,ZDT1,ZDT1 双目标函数,MOABC,738720564,100,0.7500064027934825,0.8303583844168746,0.0,0.0,0.00512176856192567,0.8713204629113627,45.355194399999164
5,ZDT1,ZDT1 双目标函数,MOABC,72978338,100,0.7500103818545905,0.8348049154494981,0.0,0.0,0.004092865017951541,0.8714471543193261,48.96728489999805
6,ZDT1,ZDT1 双目标函数,MOABC,4136065904,100,0.75000019435786,0.8355488623013497,0.0,0.0,0.003610955242736912,0.8714556740299942,46.47711889999482
7,ZDT1,ZDT1 双目标函数,MOABC,1754842817,100,0.7500232826310602,0.8355880277328279,0.0,0.0,0.0035773875531664753,0.8712396287836066,46.75548649999837
8,ZDT1,ZDT1 双目标函数,MOABC,1469783304,100,0.7500292144860022,0.8351358619574181,0.0,0.0,0.00499129019285373,0.8714100541168286,45.27244520000386
9,ZDT1,ZDT1 双目标函数,MOABC,443120018,100,0.7500280154107356,0.8290750424061502,0.0,0.0,0.007372666543646339,0.8712758161200013,34.589061499995296
10,ZDT1,ZDT1 双目标函数,MOABC,3541716365,100,0.7500350662049622,0.8361484058249331,0.0,0.0,0.004035380871546372,0.8712886565616778,31.229956800001673
1,ZDT1,ZDT1 双目标函数,MOGABC,1656798971,100,0.7500040013992935,0.834049227161087,0.0,0.0,0.0040171233920962114,0.8712754966814389,72.13775970000279
2,ZDT1,ZDT1 双目标函数,MOGABC,2276164540,100,0.7500100090170623,0.834528076938571,0.0,0.0,0.0041969371674544466,0.8712326114209961,74.62809720000223
3,ZDT1,ZDT1 双目标函数,MOGABC,2013001186,100,0.7500362397763871,0.8302747232071042,0.0,0.0,0.0041013681806444735,0.8715954094010319,73.95820280000044
4,ZDT1,ZDT1 双目标函数,MOGABC,738720564,100,0.7500101354623703,0.8324967206833653,0.0,0.0,0.004076026897935097,0.8714804091614025,72.54674689999956
5,ZDT1,ZDT1 双目标函数,MOGABC,72978338,100,0.7500195076085199,0.834207838655705,0.0,0.0,0.004309854684483816,0.8714883871612533,76.42094689999794
6,ZDT1,ZDT1 双目标函数,MOGABC,4136065904,100,0.7500001774100753,0.8275144493817195,0.0,0.0,0.00602542675083249,0.8713598496027745,74.59001929999795
7,ZDT1,ZDT1 双目标函数,MOGABC,1754842817,100,0.7500003697466735,0.8344655650127406,0.0,0.0,0.004420892125640155,0.8713403725660523,77.3843823999996
8,ZDT1,ZDT1 双目标函数,MOGABC,1469783304,100,0.7500222122596567,0.8354662610180363,0.0,0.0,0.00491705022988146,0.8714570379044976,55.617356899994775
9,ZDT1,ZDT1 双目标函数,MOGABC,443120018,100,0.7500073304682362,0.8342378028494359,0.0,0.0,0.00421486055730767,0.8712407365675652,54.17020920000505
10,ZDT1,ZDT1 双目标函数,MOGABC,3541716365,100,0.7500671757984474,0.8402149781093806,0.0,0.0,0.004526117782357399,0.8711736309346113,54.358729100000346
