run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3874314411,2864.9754948483596309,164.9754948483596309,17.522901
2,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,1556972134,2865.1958078093721269,165.1958078093721269,16.477700
3,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,1732359475,2865.6141982815843221,165.6141982815843221,16.685230
4,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3898258079,2864.9151475477556232,164.9151475477556232,16.467671
5,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,4227540941,2863.5653885739552607,163.5653885739552607,16.556211
6,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,4006267649,2865.2281829764310714,165.2281829764310714,16.647591
7,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,932464342,2865.0227842435015191,165.0227842435015191,16.843178
8,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3387858091,2862.7304850845839610,162.7304850845839610,16.838507
9,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,874907456,2865.8383864777224517,165.8383864777224517,17.535905
10,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,2969708201,2865.7919562697175024,165.7919562697175024,17.344863
11,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,4146217712,2865.2669079543470616,165.2669079543470616,17.152083
12,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,2741310624,2863.8309308823286301,163.8309308823286301,17.204847
13,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3527743763,2864.6555835186318291,164.6555835186318291,17.220175
14,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,957348804,2865.4532108642133608,165.4532108642133608,17.127855
15,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,1215881178,2865.4864244172072176,165.4864244172072176,17.953148
16,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,1187988618,2860.4602730577357761,160.4602730577357761,17.353337
17,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,179363382,2865.4146385090866715,165.4146385090866715,17.402875
18,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3789361526,2864.4841210307922665,164.4841210307922665,18.236991
19,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,355368092,2865.6369714063716856,165.6369714063716856,17.464871
20,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,2972813684,2861.5602625520800757,161.5602625520800757,16.822012
21,CEC2022_F12,CEC2022 F12 组合函数 7,ABC,3693793884,2865.4124259227123730,165.4124259227123730,16.988375
