run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3461345588,2210.7834016415604,10.783401641560431,11.072771700000885
2,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,209236816,2214.9157952745277,14.915795274527682,10.843807499999457
3,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4242825575,2205.8224053333597,5.822405333359711,10.59102940000048
4,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,245830488,2217.2735504149678,17.273550414967758,10.782872100000532
5,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1916601734,2204.028793695493,4.028793695492823,10.798903700000665
6,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1267642006,2208.0806679617244,8.08066796172443,10.608989499998643
7,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2050558650,2215.2237382136273,15.223738213627257,10.835877299999993
8,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3668405944,2203.854153835437,3.854153835437046,11.029564700000265
9,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3965324385,2220.9388235472934,20.938823547293396,10.533162300000185
10,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,640349410,2213.372943158257,13.37294315825693,10.562643799999933
11,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2438594074,2209.4633011005208,9.463301100520766,10.9763638000004
12,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3885490920,2211.8447685593214,11.844768559321437,10.701635699999315
13,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2190074610,2207.875967318316,7.875967318315816,10.712721800000509
14,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3972617841,2220.409123553943,20.409123553943118,10.808948800000508
15,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3574077259,2214.050520960656,14.050520960655831,10.551876399998946
16,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2060830026,2209.0956125442067,9.095612544206688,10.509098699998503
17,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4215590847,2205.800548752696,5.800548752696159,10.988611900000251
18,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2519053389,2218.5355216863004,18.5355216863004,10.771323999999368
19,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3500156835,2211.785833050346,11.7858330503459,10.779195799999798
20,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,582025294,2215.038873418702,15.038873418702224,10.935755000000427
21,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1598607475,2216.6837809137332,16.683780913733244,10.645645500000683
22,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,338761833,2217.4316443932626,17.43164439326256,10.646107399999892
23,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3288272892,2220.8544469935964,20.85444699359641,10.833381100001134
24,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,131983042,2216.414374817088,16.414374817088174,10.63481739999952
25,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1040222651,2207.846018944467,7.846018944466778,10.552997799999503
26,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4099074650,2218.076815988378,18.076815988377803,10.892578499999217
27,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2275360604,2202.5598762543527,2.55987625435273,10.663062399999035
28,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,68939364,2211.3525104464197,11.352510446419728,10.55002659999991
29,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3568277332,2208.964460322011,8.964460322010837,10.766482299999552
30,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1181364882,2214.7709089291034,14.77090892910337,10.60418480000044
31,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1420640110,2216.661384790433,16.661384790433203,10.69518749999952
32,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4095813822,2210.657690345386,10.657690345386072,10.937035000000833
33,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,837865867,2214.6579582329155,14.657958232915462,10.567482899999959
34,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3280009512,2213.759786144714,13.759786144713871,10.661265299999286
35,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1316404469,2213.076479677251,13.076479677250973,10.776306000001568
36,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4124214317,2214.720117478941,14.72011747894112,10.62736810000024
37,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2977777094,2208.3829329809237,8.38293298092367,10.578326999999263
38,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2079688045,2205.575580480449,5.575580480448934,11.071945600000618
39,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4101509627,2217.723491099171,17.723491099171042,10.883291400001326
40,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2250542651,2217.5515330304534,17.551533030453356,10.738152899999477
41,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2608009288,2206.9928520777266,6.9928520777266385,11.01743439999882
42,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,126122444,2204.7029235056884,4.702923505688432,10.956077200000436
43,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4054078439,2220.2070084339966,20.207008433996634,10.602368199999546
44,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,211576291,2219.960705913403,19.960705913403217,10.908519599999636
45,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2479290557,2219.853210216071,19.853210216071147,11.011468500000774
46,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,852096753,2220.113542308585,20.113542308584783,10.584498400001394
47,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3298350043,2207.016317895608,7.016317895608154,10.784085700001015
48,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,873916297,2202.547237616538,2.547237616538041,10.985600300000442
49,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1782967742,2217.2131300583715,17.213130058371462,10.7906081000001
50,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3202499338,2214.2716435932407,14.271643593240697,10.94311050000033
51,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3516718495,2202.9206082185947,2.92060821859468,11.005526999999347
52,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,30810409,2214.3323316060028,14.332331606002754,10.592072199999166
53,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3426450432,2206.392589661952,6.392589661952115,10.985597400000188
54,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2299104465,2205.030305694909,5.030305694909202,10.96311440000136
55,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2130010614,2208.93900081932,8.939000819319972,10.687773499999821
56,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,138094372,2202.4181760516203,2.4181760516203212,10.93627369999922
57,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1117043247,2219.5713311410764,19.57133114107637,10.95786390000103
58,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1438760009,2217.027787214033,17.027787214033197,10.740847400000348
59,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2958122386,2213.667347407547,13.667347407546913,10.980017700001554
60,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,4026337154,2206.6051504204024,6.605150420402424,10.951746699998694
61,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,934633294,2211.4940825812077,11.49408258120775,10.861943099998825
62,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2407843836,2206.8451624699333,6.845162469933257,10.930513999999675
63,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3513127333,2207.125774358971,7.12577435897083,10.93544649999967
64,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,435618664,2208.816702724955,8.816702724955121,10.89826709999943
65,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2379572910,2217.6454356442805,17.645435644280496,10.926743799998803
66,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,153511182,2207.324910346076,7.324910346076194,10.622623799999928
67,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3548730886,2205.9688054027265,5.9688054027265025,10.889855199999147
68,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2464202015,2203.144470487739,3.1444704877389995,10.949765499999558
69,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3068924247,2215.511504260008,15.511504260008223,10.71496610000031
70,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3607614751,2208.448099386746,8.44809938674598,10.652397400001064
71,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,12744769,2214.7407211396385,14.740721139638481,10.897718800000803
72,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3552351651,2213.5982461764215,13.598246176421526,10.928501200000028
73,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,342926411,2218.9200261205915,18.9200261205915,10.911989100000937
74,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3110397612,2216.922215549792,16.922215549791872,10.78032979999989
75,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2089102278,2214.108479651538,14.108479651537891,10.709389900001042
76,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1908967095,2206.9262678604973,6.926267860497319,10.886510700000144
77,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,666110927,2205.8453574980363,5.845357498036265,10.756942100000742
78,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2216571814,2214.756287477281,14.756287477281148,10.692195300000094
79,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1031583551,2214.566965358431,14.566965358430934,10.866823100001056
80,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3211824879,2217.0466317770565,17.04663177705652,10.967144999998709
81,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2723056309,2207.3878011106713,7.387801110671262,10.587745199998608
82,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2371944969,2213.5531038530116,13.553103853011635,10.788191200001165
83,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1074929425,2210.3594056549127,10.359405654912734,10.968891599999552
84,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2329378344,2214.3750153814417,14.375015381441699,10.76685400000133
85,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2239700548,2204.455329974779,4.455329974779033,10.92053709999891
86,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3116470425,2212.836867957713,12.836867957712911,10.99137249999876
87,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3797071441,2207.0163429009276,7.0163429009276115,10.9239761000008
88,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,436627737,2204.7114314975206,4.711431497520607,10.906812700000955
89,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2845346339,2214.9528343532684,14.952834353268372,10.818696300000738
90,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3024936772,2205.1565953327245,5.156595332724464,10.852282500000001
91,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3778478580,2206.9700316023946,6.970031602394556,10.774723399999857
92,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,621083003,2207.668440141552,7.668440141551855,10.912641000000804
93,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,418704143,2207.070541570345,7.070541570345085,10.758195000000342
94,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,888800514,2209.8310336387744,9.831033638774443,10.631202900000062
95,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,3412064412,2216.796994027827,16.796994027827168,11.156539599998723
96,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,1138994556,2216.0263240000945,16.02632400009452,10.750074399998994
97,CEC2022_F8,官方 CEC2022 F8 混合函数 6,ABC,2854492767,2213.4381063876253,13.43810638762534,10.56218120000085
