run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3736116888,957.3389638506519077,57.3389638506519077,3.269187
2,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3105971092,976.2011631265847882,76.2011631265847882,3.255127
3,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,437528902,964.8330933071180198,64.8330933071180198,3.244567
4,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1163149197,993.1619422943380187,93.1619422943380187,3.388471
5,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1849751704,961.9415937837269439,61.9415937837269439,3.332460
6,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2731327513,1051.0726977882552546,151.0726977882552546,3.251732
7,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3402577133,937.9785075154543392,37.9785075154543392,3.240890
8,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3081347888,963.9976563007159029,63.9976563007159029,3.380503
9,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,535509091,1161.9961485927638023,261.9961485927638023,3.352995
10,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3318259517,961.2205074904538833,61.2205074904538833,3.500800
11,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1727941644,970.1865670581142922,70.1865670581142922,3.280113
12,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2386898396,997.3186982703658714,97.3186982703658714,3.273306
13,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2456053468,1032.7585148180542092,132.7585148180542092,3.389796
14,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2023910455,935.4896344091131368,35.4896344091131368,3.264750
15,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,280517754,1154.6127468330889769,254.6127468330889769,3.483788
16,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1242406740,946.6873163656531460,46.6873163656531460,3.279815
17,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1549576756,929.7717866563060625,29.7717866563060625,3.257783
18,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,431141127,1013.6188394371772574,113.6188394371772574,3.287314
19,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1584901861,967.0533501704047694,67.0533501704047694,3.445513
20,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,823135817,972.7962360759436251,72.7962360759436251,3.411285
21,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3534211263,933.9999391763252561,33.9999391763252561,3.416348
22,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3520913673,1072.0675976437978534,172.0675976437978534,3.267735
23,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1059121474,1049.5911087642357415,149.5911087642357415,3.301380
24,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,469938459,1300.4433916155292081,400.4433916155292081,3.267161
25,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,1026435302,1097.0099004411088117,197.0099004411088117,3.446631
26,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3052225816,901.2887931098931631,1.2887931098931631,3.333187
27,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3029407139,1010.8269926229005478,110.8269926229005478,3.328064
28,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2937207563,994.8208830506987397,94.8208830506987397,3.258784
29,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,2665728027,993.2606871721912967,93.2606871721912967,3.393770
30,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,ABC,3124321708,929.0506391202349050,29.0506391202349050,3.281930
1,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3736116888,974.7584940440162882,74.7584940440162882,2.900171
2,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3105971092,982.6189735153249103,82.6189735153249103,2.891451
3,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,437528902,910.7343770846354118,10.7343770846354118,2.963454
4,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1163149197,964.1633684063980354,64.1633684063980354,3.089242
5,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1849751704,914.8483022889928407,14.8483022889928407,2.877063
6,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2731327513,933.5222803532240050,33.5222803532240050,2.868147
7,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3402577133,980.9561666223902421,80.9561666223902421,2.888054
8,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3081347888,1087.5135423806887047,187.5135423806887047,3.197562
9,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,535509091,1019.1365906460436008,119.1365906460436008,3.106127
10,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3318259517,914.0928807642567335,14.0928807642567335,3.058007
11,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1727941644,931.6035273529970482,31.6035273529970482,2.928672
12,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2386898396,1027.3230561028672128,127.3230561028672128,2.946354
13,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2456053468,963.1948436353669649,63.1948436353669649,2.911909
14,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2023910455,938.1567026129372380,38.1567026129372380,3.066544
15,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,280517754,968.2880042540328986,68.2880042540328986,2.978185
16,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1242406740,1029.5941729340941038,129.5941729340941038,2.932004
17,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1549576756,960.6223765363388338,60.6223765363388338,3.013255
18,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,431141127,1032.0875549253723875,132.0875549253723875,3.010360
19,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1584901861,986.2011670004688995,86.2011670004688995,3.032156
20,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,823135817,934.8596707403441997,34.8596707403441997,3.118961
21,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3534211263,944.3777318730279831,44.3777318730279831,2.941958
22,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3520913673,979.9259942709634288,79.9259942709634288,3.015695
23,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1059121474,964.8058474726134364,64.8058474726134364,2.952786
24,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,469938459,922.6796247827484194,22.6796247827484194,2.957175
25,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,1026435302,945.6559638201817961,45.6559638201817961,3.080119
26,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3052225816,983.5658680483918488,83.5658680483918488,2.905492
27,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3029407139,927.9819481875980500,27.9819481875980500,2.897593
28,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2937207563,952.9667128543344461,52.9667128543344461,2.885312
29,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,2665728027,900.5068629308863137,0.5068629308863137,3.007284
30,CEC2022_F5,CEC2022 F5 平移旋转 Levy 函数,GABC,3124321708,960.6396634512944956,60.6396634512944956,3.009036
