run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2635053545,6246.8940227342409344,5946.8940227342409344,2.898599
2,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1913689461,4055.7573988585563711,3755.7573988585563711,2.859630
3,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2406398295,5629.2380419424534921,5329.2380419424534921,3.124570
4,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1213315571,9794.9309915329067735,9494.9309915329067735,2.889566
5,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1984939737,7302.4969684715524636,7002.4969684715524636,3.042110
6,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1144203030,3751.5536165040607557,3451.5536165040607557,2.888780
7,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,3244131620,3911.0141237717753029,3611.0141237717753029,2.884961
8,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,792633260,3910.1374048182988190,3610.1374048182988190,2.952806
9,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,640710518,3524.8634179049049635,3224.8634179049049635,3.092431
10,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2571577570,13224.4501007321414363,12924.4501007321414363,2.881004
11,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,3851271668,7397.9436792492706445,7097.9436792492706445,2.872444
12,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,3447375416,1009.3739813049090799,709.3739813049090799,3.025092
13,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,433291045,4273.4719379336174825,3973.4719379336174825,2.874938
14,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1809163568,3817.7236771708458036,3517.7236771708458036,2.883642
15,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,564219672,16302.8496411347096000,16002.8496411347096000,3.080651
16,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1361663259,5897.7634281982873290,5597.7634281982873290,2.918635
17,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2912971782,6551.8253852044181258,6251.8253852044181258,2.986192
18,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2929940422,3837.4332169708573019,3537.4332169708573019,2.905006
19,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,3107867655,1161.0400190975449277,861.0400190975449277,2.926205
20,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,554974070,2183.0388042036274783,1883.0388042036274783,2.961908
21,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,562192596,8125.0573164919542251,7825.0573164919542251,3.152296
22,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2879131321,10741.3742031330766622,10441.3742031330766622,2.913778
23,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2609824503,1441.9606415425589603,1141.9606415425589603,2.893569
24,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1269231348,5703.7776385989554910,5403.7776385989554910,2.982098
25,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,427663227,6675.6129061332294441,6375.6129061332294441,2.879870
26,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1541703745,8115.2827242759076398,7815.2827242759076398,2.878663
27,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,4045878878,11322.6420871911886934,11022.6420871911886934,2.975861
28,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,4075622127,7601.6317752408676824,7301.6317752408676824,3.002697
29,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,2668495032,3918.2423522000271987,3618.2423522000271987,3.135323
30,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,ABC,1446380499,6881.7953754176542134,6581.7953754176542134,2.869004
1,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2635053545,2427.4020934588065757,2127.4020934588065757,2.418174
2,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1913689461,3506.2248589924201951,3206.2248589924201951,2.531528
3,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2406398295,6237.1129976442171028,5937.1129976442171028,2.550037
4,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1213315571,4941.6964878760827560,4641.6964878760827560,2.584188
5,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1984939737,2669.7007698618431277,2369.7007698618431277,2.422937
6,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1144203030,7576.7522920478277229,7276.7522920478277229,2.417367
7,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,3244131620,1502.9242843904839901,1202.9242843904839901,2.468068
8,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,792633260,8695.8110938262652780,8395.8110938262652780,2.526791
9,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,640710518,2937.8768240362414872,2637.8768240362414872,2.407448
10,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2571577570,7749.2936375532417514,7449.2936375532417514,2.412003
11,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,3851271668,1983.7941487647588019,1683.7941487647588019,2.437467
12,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,3447375416,7438.8888661142354977,7138.8888661142354977,2.510910
13,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,433291045,2587.0115079660909032,2287.0115079660909032,2.406187
14,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1809163568,6345.6553085477744389,6045.6553085477744389,2.515244
15,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,564219672,3792.6548438184049701,3492.6548438184049701,2.596815
16,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1361663259,4035.6276460825920367,3735.6276460825920367,2.528426
17,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2912971782,4113.5564412398625791,3813.5564412398625791,2.435423
18,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2929940422,5468.9402868439456142,5168.9402868439456142,2.426078
19,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,3107867655,4198.8332189947286679,3898.8332189947286679,2.426433
20,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,554974070,5453.9528035211505994,5153.9528035211505994,2.519258
21,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,562192596,4274.2156411168125487,3974.2156411168125487,2.505077
22,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2879131321,3952.0199596222360015,3652.0199596222360015,2.418562
23,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2609824503,6086.7112959622836570,5786.7112959622836570,2.476740
24,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1269231348,3498.0084684608937096,3198.0084684608937096,2.523651
25,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,427663227,1948.9046560080450945,1648.9046560080450945,2.506865
26,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1541703745,2412.2544287703440204,2112.2544287703440204,2.408147
27,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,4045878878,12358.3230449107904860,12058.3230449107904860,2.588515
28,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,4075622127,3845.7080318957073359,3545.7080318957073359,2.544638
29,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,2668495032,5238.9887221958533701,4938.9887221958533701,2.444840
30,CEC2017_F3,CEC2017 F3 平移旋转 Zakharov 函数,GABC,1446380499,6637.2143760499948257,6337.2143760499948257,2.433509
