run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,935890626,601.7077424698743471,1.7077424698743471,3.242491
2,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,542658245,603.3038680740750124,3.3038680740750124,2.942170
3,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2710314798,602.9381128466803830,2.9381128466803830,2.933313
4,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2706693025,603.1212527564251786,3.1212527564251786,2.909631
5,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1636757236,600.7254435432921582,0.7254435432921582,2.899367
6,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,822608949,603.2284919535352401,3.2284919535352401,3.032496
7,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,3183783126,603.4876434080313174,3.4876434080313174,2.951363
8,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,5116507,603.9343515895852761,3.9343515895852761,2.925693
9,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2707641481,605.3705104347557153,5.3705104347557153,3.044237
10,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1520755065,603.8899788669401687,3.8899788669401687,2.906603
11,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,4086258189,601.1514830993698979,1.1514830993698979,2.899855
12,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,623211216,602.5978314116982801,2.5978314116982801,2.922797
13,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1660988122,600.7427103397047858,0.7427103397047858,3.285442
14,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,3601572054,602.1140139225074108,2.1140139225074108,2.931131
15,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2831462454,604.4701299405988948,4.4701299405988948,2.915676
16,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1260844083,602.3345465004291555,2.3345465004291555,2.905126
17,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,51056705,603.8238228139748571,3.8238228139748571,2.922536
18,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,280592804,600.9425731676428768,0.9425731676428768,3.047494
19,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1568746979,606.7884267706025412,6.7884267706025412,2.979812
20,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1384377590,603.5379219290299488,3.5379219290299488,3.053090
21,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,4007567972,603.5062297402224658,3.5062297402224658,2.984701
22,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2944305347,602.3104904734582306,2.3104904734582306,2.927151
23,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,971945020,602.2108354924897640,2.2108354924897640,2.912625
24,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,1024900227,603.4622562402048516,3.4622562402048516,2.899390
25,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,3478296440,602.0358908654850438,2.0358908654850438,3.426840
26,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,484237953,603.7514841584521719,3.7514841584521719,2.902398
27,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,3062236356,605.2257127656183684,5.2257127656183684,2.899553
28,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,2651064689,602.1024823765226301,2.1024823765226301,2.901770
29,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,147439827,602.8514569357788560,2.8514569357788560,2.920740
30,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,ABC,250668557,604.8267162716512075,4.8267162716512075,2.982404
1,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,GABC,935890626,600.7422076573323011,0.7422076573323011,2.578791
2,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,GABC,542658245,600.9496403375661657,0.9496403375661657,2.468670
3,CEC2017_F6,CEC2017 F6 平移旋转 Schaffer's F7 函数,GABC,2710314798,601.3113782666881661,1.3113782666881661,2.566959
