run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1840229292,2000.6365174640181976,0.6365174640181976,13.697665
2,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1604944632,2001.0003481452611140,1.0003481452611140,13.669145
3,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,4009001542,2000.4642495496798347,0.4642495496798347,13.206764
4,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1597807418,2001.4189672729353333,1.4189672729353333,13.291742
5,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2021930183,2001.6982333314504103,1.6982333314504103,13.703124
6,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,27555669,2001.9933082985041892,1.9933082985041892,13.839305
7,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,497657771,2001.1779877845744977,1.1779877845744977,13.391303
8,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,3155071384,2001.0617326155106639,1.0617326155106639,13.402666
9,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2879255390,2000.4966550274680230,0.4966550274680230,13.575100
10,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1249394089,2000.2065137371055243,0.2065137371055243,14.208374
11,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1167320065,2001.1725085126463455,1.1725085126463455,13.546887
12,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2624036097,2000.9917098691062165,0.9917098691062165,13.994265
13,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1212886984,2000.1143472247065347,0.1143472247065347,14.088877
14,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,334978054,2000.7377484330563675,0.7377484330563675,13.453248
15,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1465498811,2000.2665235555236904,0.2665235555236904,13.451909
16,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,3771403325,2000.1336778325367050,0.1336778325367050,13.702968
17,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1941310389,2000.6220110641543215,0.6220110641543215,13.385506
18,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1698410986,2001.9467555482756325,1.9467555482756325,13.653727
19,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2285293124,2000.5519423719176757,0.5519423719176757,13.714462
20,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,3968209984,2001.9655892844707523,1.9655892844707523,13.627715
21,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2572833049,2000.5401168556074936,0.5401168556074936,13.327514
22,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2267052369,2001.5885590522877919,1.5885590522877919,13.552504
23,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2419966719,2000.7143334707398026,0.7143334707398026,13.968093
24,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,850943214,2001.2643299464989468,1.2643299464989468,13.506412
25,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1600533413,2002.4124244610814003,2.4124244610814003,13.772484
26,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2496023447,2000.6924648169535885,0.6924648169535885,13.596500
27,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,2781730719,2008.5142810582672155,8.5142810582672155,13.469127
28,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,1047103567,2002.7655556054930912,2.7655556054930912,13.266431
29,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,3936594208,2001.5105220753762296,1.5105220753762296,13.535058
30,CEC2022_F7,CEC2022 F7 混合函数 10,ABC,3811963204,2001.0404796874083786,1.0404796874083786,13.760775
