run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1944602177,123.3967114352024197,23.3967114352024197,2.600250
2,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,355318754,129.3312429453647496,29.3312429453647496,2.553765
3,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1537845209,331.1346052406208855,231.1346052406208855,2.573114
4,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3873351067,1040.5956180695661715,940.5956180695661715,2.616447
5,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1828654582,530.5903741002932748,430.5903741002932748,2.655793
6,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3026464395,586.1886605138487312,486.1886605138487312,2.511736
7,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3226834293,390.1186998325247828,290.1186998325247828,2.699541
8,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,2331441971,117.2012746242733385,17.2012746242733385,2.620093
9,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,2722717984,180.6370548822510784,80.6370548822510784,2.513019
10,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3890230511,1081.2252485548945060,981.2252485548945060,2.509521
11,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1775764296,121.3076847100680737,21.3076847100680737,2.682834
12,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1723344637,197.8903842109145330,97.8903842109145330,2.560810
13,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,2652337246,289.6817209707252232,189.6817209707252232,2.487991
14,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3434663831,312.8404550127994526,212.8404550127994526,2.520840
15,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,727909923,247.6342813736732467,147.6342813736732467,2.501847
16,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1661763017,338.0822102052927676,238.0822102052927676,2.609814
17,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,4111931582,230.4094194315463540,130.4094194315463540,2.504043
18,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,70908790,159.0563168132155454,59.0563168132155454,2.521405
19,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3554836690,1205.2450717429235283,1105.2450717429235283,2.679796
20,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,1359110855,282.1419957916293129,182.1419957916293129,2.514378
21,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,4137420437,346.6055848136900863,246.6055848136900863,2.739051
22,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3976832614,140.6866518080862534,40.6866518080862534,2.563388
23,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3155178992,321.7855828261339184,221.7855828261339184,2.506159
24,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3461238795,988.5452506487855544,888.5452506487855544,2.503114
25,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,966783734,970.2276519119351406,870.2276519119351406,2.571394
26,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,339998668,378.2466926413912347,278.2466926413912347,2.671264
27,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,125509163,351.3850962851480517,251.3850962851480517,2.526427
28,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,2510002526,151.8852955932221107,51.8852955932221107,2.510573
29,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3164675816,502.0711368912430999,402.0711368912430999,2.512513
30,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,ABC,3004154016,209.8127839753744865,109.8127839753744865,2.602723
1,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,GABC,1944602177,157.7345847687468563,57.7345847687468563,2.137380
2,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,GABC,355318754,749.4068735747997607,649.4068735747997607,1.980498
3,CEC2017_F1,CEC2017 F1 平移旋转 Bent Cigar 函数,GABC,1537845209,116.5506536777269275,16.5506536777269275,2.000801
