run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2947560006,2037.8492068452158037,237.8492068452158037,4.872225
2,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1383967026,1997.5777175045832337,197.5777175045832337,4.568033
3,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,798397593,2049.0803257966781530,249.0803257966781530,4.564485
4,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1396622458,1899.3783961905173783,99.3783961905173783,4.864319
5,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2468705955,2253.4772991872255261,453.4772991872255261,4.664508
6,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1179449379,2114.0580275294405510,314.0580275294405510,4.579936
7,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,4294098237,1969.4073309843424795,169.4073309843424795,4.687238
8,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,584645740,1952.1204277979613835,152.1204277979613835,4.858890
9,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2073212036,1830.4148065347949341,30.4148065347949341,4.569573
10,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2217023402,2109.0901565438348371,309.0901565438348371,4.550000
11,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2932682626,2020.8210944522256796,220.8210944522256796,4.956852
12,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1776351108,1878.2638219009263594,78.2638219009263594,4.563247
13,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,3561687405,1878.6114059631927375,78.6114059631927375,4.577057
14,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1157112407,2106.6473674363360260,306.6473674363360260,4.727635
15,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1363559241,2010.0489805483207419,210.0489805483207419,4.813881
16,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,75867985,1972.1879638715345209,172.1879638715345209,4.551260
17,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,197626993,2056.6731286797794382,256.6731286797794382,4.570649
18,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,4246599378,2193.5306353572304943,393.5306353572304943,4.791271
19,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,3087624070,1963.2629347400829829,163.2629347400829829,4.708668
20,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2002327773,1943.0752614303521568,143.0752614303521568,4.642989
21,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2020622902,1914.3928417022882513,114.3928417022882513,4.695008
22,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,155295662,1907.5283478329681657,107.5283478329681657,4.881577
23,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,3474151260,1886.3847586184460852,86.3847586184460852,4.664039
24,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1996696055,1957.6019163721553014,157.6019163721553014,4.644663
25,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,193049943,2042.7819536150482236,242.7819536150482236,4.900421
26,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,3442587966,1900.9965605871630032,100.9965605871630032,4.754828
27,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2158823010,1941.7869607478364742,141.7869607478364742,4.633461
28,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1451173083,2007.7227296138639758,207.7227296138639758,4.646072
29,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,1846132463,2062.9980776315155708,262.9980776315155708,4.755936
30,CEC2022_F6,CEC2022 F6 混合函数 2,ABC,2652600884,1889.4659350336983152,89.4659350336983152,4.661874
1,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2947560006,1947.9537439490909492,147.9537439490909492,4.744738
2,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1383967026,1823.1196639943841546,23.1196639943841546,4.629632
3,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,798397593,1932.6833177964745119,132.6833177964745119,4.636916
4,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1396622458,1933.9278017168276165,133.9278017168276165,4.990235
5,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2468705955,1850.7539083844781089,50.7539083844781089,4.695859
6,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1179449379,2037.5137647191031647,237.5137647191031647,4.799617
7,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,4294098237,1984.2015021474992409,184.2015021474992409,4.729356
8,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,584645740,1881.3154378969711615,81.3154378969711615,4.683294
9,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2073212036,1899.2816342510336654,99.2816342510336654,4.628935
10,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2217023402,1862.2923377238362264,62.2923377238362264,4.629236
11,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2932682626,1835.3062902050157845,35.3062902050157845,4.798591
12,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1776351108,1904.8356907980992219,104.8356907980992219,4.621513
13,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,3561687405,1838.5260660641683899,38.5260660641683899,4.742709
14,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1157112407,1872.4026913524648990,72.4026913524648990,4.658687
15,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,1363559241,2116.1969717599672549,316.1969717599672549,4.745975
16,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,75867985,1910.4465191408496594,110.4465191408496594,4.602508
17,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,197626993,1866.0911783976653169,66.0911783976653169,4.716427
18,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,4246599378,1943.1635944079935143,143.1635944079935143,4.864486
19,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,3087624070,1878.4148066959767220,78.4148066959767220,4.775469
20,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2002327773,1900.0115955391177067,100.0115955391177067,4.926913
21,CEC2022_F6,CEC2022 F6 混合函数 2,GABC,2020622902,1854.1483009020851114,54.1483009020851114,4.619096
