run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2396405238,5346.3479694405050395,5046.3479694405050395,2.997227
2,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,4103237345,2042.0304803913725209,1742.0304803913725209,2.954023
3,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,737396101,8674.8666219955739507,8374.8666219955739507,2.963356
4,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2376668485,7563.4059928664910331,7263.4059928664910331,2.898531
5,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3265980282,4874.1788579813519391,4574.1788579813519391,2.914930
6,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1409528368,3916.9552785499781749,3616.9552785499781749,2.994384
7,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3053554055,5655.3255321719543645,5355.3255321719543645,3.273834
8,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3728371942,4359.0802205604813935,4059.0802205604813935,2.918965
9,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1629733027,8281.3497968647025118,7981.3497968647025118,2.924252
10,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1580634373,6658.9206805836456624,6358.9206805836456624,2.911614
11,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3898973747,3690.0705521563336333,3390.0705521563336333,2.915643
12,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1883551048,3012.7513389899359026,2712.7513389899359026,2.962546
13,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,998923706,6793.5847351320735470,6493.5847351320735470,3.044033
14,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1575067794,4444.8966469188617339,4144.8966469188617339,2.993113
15,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3551447496,7905.0749284964940671,7605.0749284964940671,2.954153
16,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1034925395,4828.7821630260768870,4528.7821630260768870,2.911096
17,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2844102245,7656.6095958989399151,7356.6095958989399151,2.993927
18,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3407021408,12803.0562946202971943,12503.0562946202971943,2.923557
19,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3488473947,4167.4839012833444940,3867.4839012833444940,3.308627
20,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1058912689,4054.0374828121011888,3754.0374828121011888,2.897499
21,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2623831796,9847.4108833032387338,9547.4108833032387338,2.915736
22,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,4248909682,4006.4812270885418002,3706.4812270885418002,2.913354
23,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2007625583,4796.5872954868391389,4496.5872954868391389,2.894597
24,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,4127215260,7516.6608727885977714,7216.6608727885977714,2.934145
25,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,253457755,3113.3786553213681145,2813.3786553213681145,3.115061
26,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2293566342,6989.8975514320109141,6689.8975514320109141,3.002239
27,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,3992969321,5809.6694306850022258,5509.6694306850022258,2.912476
28,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,2461630581,7345.6561500470406827,7045.6561500470406827,3.026636
29,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,1125219809,2709.2216264571275133,2409.2216264571275133,2.923856
30,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,ABC,4184266005,4996.3557238448684075,4696.3557238448684075,2.900340
1,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,2396405238,3071.5319481021037973,2771.5319481021037973,2.479879
2,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,4103237345,4193.5462910985042981,3893.5462910985042981,2.590222
3,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,737396101,3552.9355303512543287,3252.9355303512543287,2.472612
4,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,2376668485,2628.9367112799204733,2328.9367112799204733,2.474193
5,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3265980282,3653.8397962224034927,3353.8397962224034927,2.464324
6,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1409528368,4244.5463779193050868,3944.5463779193050868,2.609843
7,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3053554055,3617.5193390866907066,3317.5193390866907066,2.617132
8,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3728371942,4855.2507854572104407,4555.2507854572104407,2.509375
9,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1629733027,3809.7521209995425124,3509.7521209995425124,2.495025
10,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1580634373,5941.9107521815531072,5641.9107521815531072,2.468115
11,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3898973747,5176.1688288334416939,4876.1688288334416939,2.546158
12,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1883551048,4431.3968113709552199,4131.3968113709552199,2.685906
13,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,998923706,3314.6823430737936178,3014.6823430737936178,2.545865
14,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1575067794,3362.3299631699264864,3062.3299631699264864,2.576916
15,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3551447496,2786.9951034218447603,2486.9951034218447603,2.567629
16,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1034925395,5817.5320106359667989,5517.5320106359667989,2.482203
17,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,2844102245,2432.3471639632748520,2132.3471639632748520,2.481671
18,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3407021408,4695.0642300284189332,4395.0642300284189332,2.624628
19,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,3488473947,2806.0160654450014590,2506.0160654450014590,2.612698
20,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,1058912689,6914.6151696818324126,6614.6151696818324126,2.467274
21,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,2623831796,3996.4961486001739104,3696.4961486001739104,2.501332
22,CEC2022_F1,CEC2022 F1 平移旋转 Zakharov 函数,GABC,4248909682,5463.1480677066674616,5163.1480677066674616,2.564642
