benchmark_id,elite_rate,elimination_rate,seed,best_value,error,time
CEC2022_F1,0.05,0.05,2894928748,9590.8951741971759475,9290.8951741971759475,1.527749
CEC2022_F1,0.05,0.05,1806734915,13968.9554087352425995,13668.9554087352425995,1.541591
CEC2022_F1,0.05,0.05,3217235270,10029.1816918922850164,9729.1816918922850164,1.560954
CEC2022_F1,0.05,0.05,1790284968,13693.9831375184930948,13393.9831375184930948,1.560440
CEC2022_F1,0.05,0.05,3866555287,10809.2110273093603610,10509.2110273093603610,1.548815
CEC2022_F1,0.05,0.05,1850582270,13905.3212912865074031,13605.3212912865074031,1.546758
CEC2022_F1,0.05,0.05,77564218,13126.2087602662759309,12826.2087602662759309,1.508128
CEC2022_F1,0.05,0.05,2900478716,12992.5275140251869743,12692.5275140251869743,1.493806
CEC2022_F1,0.05,0.05,2658924762,8850.8715244545528549,8550.8715244545528549,2.697205
CEC2022_F1,0.05,0.05,4255501078,5397.0675091166049242,5097.0675091166049242,1.515762
CEC2022_F1,0.05,0.05,1632872662,11318.3035973689566163,11018.3035973689566163,1.527626
CEC2022_F1,0.05,0.05,904221688,9532.3169737698608515,9232.3169737698608515,1.503365
CEC2022_F1,0.05,0.05,4030529564,14644.1654556179928477,14344.1654556179928477,1.493858
CEC2022_F1,0.05,0.05,619566366,9164.9555745000652678,8864.9555745000652678,1.514505
CEC2022_F1,0.05,0.05,3493902821,9015.1251723131663312,8715.1251723131663312,1.512153
CEC2022_F1,0.05,0.05,2974449495,9790.0364482499226142,9490.0364482499226142,1.501663
CEC2022_F1,0.05,0.05,2545965601,10655.8166993651684606,10355.8166993651684606,1.529812
CEC2022_F1,0.05,0.05,2158924125,16252.7576985829982732,15952.7576985829982732,1.530375
CEC2022_F1,0.05,0.05,1981180051,10631.3983330419705453,10331.3983330419705453,1.512570
CEC2022_F1,0.05,0.05,2112044542,11149.8494447405937535,10849.8494447405937535,1.551676
CEC2022_F1,0.05,0.05,2881573664,10702.6470586245868617,10402.6470586245868617,1.506112
CEC2022_F1,0.05,0.05,2372223958,7881.1160236473178884,7581.1160236473178884,1.557923
CEC2022_F1,0.05,0.05,145415183,6394.7243126714256505,6094.7243126714256505,1.531374
CEC2022_F1,0.05,0.05,2487350364,5746.7773323290357439,5446.7773323290357439,1.501022
CEC2022_F1,0.05,0.05,3686646044,13110.2660237589316239,12810.2660237589316239,2.345439
CEC2022_F1,0.05,0.05,3678671351,12137.5161727109170897,11837.5161727109170897,1.911701
CEC2022_F1,0.05,0.05,524986831,14334.1737670676375274,14034.1737670676375274,1.538599
CEC2022_F1,0.05,0.05,1459918617,8354.2660813150796457,8054.2660813150796457,1.546717
CEC2022_F1,0.05,0.05,1638605194,10174.1309135576484550,9874.1309135576484550,1.530973
CEC2022_F1,0.05,0.05,1884120510,7076.7015956557452228,6776.7015956557452228,1.495051
CEC2022_F1,0.05,0.1,2894928748,9455.9663355678512744,9155.9663355678512744,1.527588
CEC2022_F1,0.05,0.1,1806734915,10141.8150560502781445,9841.8150560502781445,1.520985
CEC2022_F1,0.05,0.1,3217235270,11202.8778833406140620,10902.8778833406140620,1.527048
CEC2022_F1,0.05,0.1,1790284968,14153.6055596731312107,13853.6055596731312107,1.530812
CEC2022_F1,0.05,0.1,3866555287,14723.4568284128617961,14423.4568284128617961,1.499707
CEC2022_F1,0.05,0.1,1850582270,10887.7360606905640452,10587.7360606905640452,1.515319
CEC2022_F1,0.05,0.1,77564218,10773.0500348771911376,10473.0500348771911376,1.500567
CEC2022_F1,0.05,0.1,2900478716,11904.7902825655655761,11604.7902825655655761,1.498971
CEC2022_F1,0.05,0.1,2658924762,7233.0171840535131196,6933.0171840535131196,1.497999
CEC2022_F1,0.05,0.1,4255501078,14993.8862876667008095,14693.8862876667008095,1.533315
CEC2022_F1,0.05,0.1,1632872662,9805.8438094729808654,9505.8438094729808654,1.520225
CEC2022_F1,0.05,0.1,904221688,10292.2824481275365542,9992.2824481275365542,1.498479
CEC2022_F1,0.05,0.1,4030529564,14351.1100586694410595,14051.1100586694410595,1.490954
CEC2022_F1,0.05,0.1,619566366,9618.1053851154811127,9318.1053851154811127,1.495119
CEC2022_F1,0.05,0.1,3493902821,8130.3394883360469976,7830.3394883360469976,1.500686
CEC2022_F1,0.05,0.1,2974449495,8138.1306339448965446,7838.1306339448965446,1.509207
CEC2022_F1,0.05,0.1,2545965601,10468.1827674236847088,10168.1827674236847088,1.515888
CEC2022_F1,0.05,0.1,2158924125,16826.1203223431475635,16526.1203223431475635,1.498263
CEC2022_F1,0.05,0.1,1981180051,10287.3843112534323154,9987.3843112534323154,1.497299
CEC2022_F1,0.05,0.1,2112044542,11176.9230330047284951,10876.9230330047284951,1.495087
CEC2022_F1,0.05,0.1,2881573664,7191.7222324615004254,6891.7222324615004254,1.504065
CEC2022_F1,0.05,0.1,2372223958,7838.2447343813701082,7538.2447343813701082,1.504605
