elite_rate,elimination_rate,benchmark_id,run_times,best,mean,std,mean_error,median_error,std_error,mean_time
0.05,0.05,CEC2022_F1,30,5397.067509116605,10681.042257256357,2752.188642629071,10381.042257256357,10343.60751620357,2752.188642629071,1.604790816664657
0.05,0.1,CEC2022_F1,30,6730.628059245982,10567.1125908897,2603.8414967970334,10267.1125908897,10080.232607775612,2603.8414967970334,1.5091294300014853
0.05,0.15,CEC2022_F1,30,1779.2411719610652,10219.93419215037,3214.3694790782547,9919.93419215037,9781.398041791646,3214.3694790782547,1.5186267000021567
0.05,0.2,CEC2022_F1,30,2436.5553838678384,10112.72725625243,2867.8155838972734,9812.72725625243,9862.940036667176,2867.8155838972734,1.54379566667
0.05,0.25,CEC2022_F1,30,2457.7349486372686,10290.338111140827,2856.8412949828303,9990.338111140827,9961.520536908352,2856.8412949828303,1.5447223499979978
0.1,0.05,CEC2022_F1,30,4795.225031466008,9820.850634878454,3038.405405980749,9520.850634878454,9156.286782992003,3038.405405980749,1.5270875033359819
0.1,0.1,CEC2022_F1,30,5030.625002055667,10317.558248578027,2677.3679124988803,10017.558248578029,10056.51823275008,2677.3679124988803,1.6011575866655525
0.1,0.15,CEC2022_F1,30,5657.133319594911,10324.642248998563,2424.803328717697,10024.642248998563,10393.09982255469,2424.803328717697,1.6447850266665531
0.1,0.2,CEC2022_F1,30,4648.544146662322,10119.305079199677,2590.7495901342045,9819.305079199677,10185.277126655204,2590.7495901342045,1.6016151633375557
0.1,0.25,CEC2022_F1,30,2999.278144565468,8890.410637548532,2725.5764023982606,8590.41063754853,8953.931416681371,2725.5764023982606,1.588561926667656
0.15,0.05,CEC2022_F1,30,3851.254807909777,10106.498978933854,2897.0238407576576,9806.498978933854,9896.825976328715,2897.0238407576576,1.5530559433313706
0.15,0.1,CEC2022_F1,30,3563.7129175113428,10254.284646094664,2782.20630323739,9954.284646094662,10303.4710435589,2782.20630323739,1.5447273166675586
0.15,0.15,CEC2022_F1,30,4527.622202920854,9723.202523571556,3375.9810494999815,9423.202523571556,8853.642509417787,3375.9810494999815,1.5839281700008239
0.15,0.2,CEC2022_F1,30,3158.9403852819537,9338.323940138082,2607.2663800835526,9038.323940138082,9224.032230527575,2607.2663800835526,1.6574184166665267
0.15,0.25,CEC2022_F1,30,4405.418765288782,9874.768968519122,2991.7528647000295,9574.768968519122,9963.110182700675,2991.7528647000295,1.5748268700010764
0.2,0.05,CEC2022_F1,30,4166.72104568159,10227.80369031673,2903.1744751367296,9927.80369031673,9699.567742750176,2903.1744751367296,1.552762849999514
0.2,0.1,CEC2022_F1,30,5473.19201274231,9732.402654164973,2170.1581590011606,9432.402654164973,8982.176847727282,2170.1581590011606,1.5572572933393531
0.2,0.15,CEC2022_F1,30,3875.9959373086654,9650.892956315947,2658.7443153623453,9350.892956315947,9569.542836093748,2658.7443153623453,1.6186017866663558
0.2,0.2,CEC2022_F1,30,4447.90266604438,8987.022867453756,2569.956141290311,8687.022867453757,8118.983806519636,2569.9561412903113,1.6032557066665807
0.2,0.25,CEC2022_F1,30,2875.863134912581,9705.515607237843,2762.596585316565,9405.515607237841,9393.848555728127,2762.596585316565,1.6093993700041513
0.25,0.05,CEC2022_F1,30,3506.585752184436,10426.038760878733,3089.226745947413,10126.038760878731,10400.311371510412,3089.2267459474133,1.5997136566613335
0.25,0.1,CEC2022_F1,30,2724.649233789865,10080.365070888221,2997.3604845159603,9780.365070888221,10108.78601420833,2997.3604845159603,1.6081543766689719
0.25,0.15,CEC2022_F1,30,5520.720685956933,9553.2033721406,2271.5666509688044,9253.2033721406,9463.273494681463,2271.5666509688044,1.6174859166669193
0.25,0.2,CEC2022_F1,30,3891.7177290171653,8739.105189307673,2565.89877091235,8439.105189307673,8258.945820960666,2565.89877091235,1.6331758133339462
0.25,0.25,CEC2022_F1,30,3675.150304919641,9102.512259176261,2648.843617145051,8802.512259176261,8667.500362897095,2648.843617145051,1.639986746670911
0.05,0.05,CEC2022_F2,30,400.0755152806896,400.75101322991907,1.0179650072234228,0.7510132299190332,0.519626265990496,1.0179650072234228,1.4739824900015568
0.05,0.1,CEC2022_F2,30,400.0800088935161,400.89893914731783,1.0967928695155251,0.8989391473178501,0.49565043556034993,1.0967928695155253,1.4844783266657031
0.05,0.15,CEC2022_F2,30,400.0471322481342,400.70937685738124,0.7148016743662302,0.7093768573811416,0.5766516886419879,0.7148016743662302,1.495220206665302
0.05,0.2,CEC2022_F2,30,400.049575721526,400.8627913524779,0.949893099769179,0.8627913524779577,0.6655334594498186,0.949893099769179,1.5126479700003983
0.05,0.25,CEC2022_F2,30,400.068700251211,400.6968715766247,0.5796743958945182,0.6968715766247726,0.5759235881916425,0.5796743958945182,1.5161316966686476
0.1,0.05,CEC2022_F2,30,400.0641084884832,400.9009751266251,1.2053546716037187,0.9009751266251234,0.5465836431579021,1.2053546716037187,1.5066194999992149
0.1,0.1,CEC2022_F2,30,400.0868150412262,400.91350814557205,1.11721149623893,0.9135081455719823,0.5461749955271102,1.11721149623893,1.5121237433360268
0.1,0.15,CEC2022_F2,30,400.10197489226346,400.69590161129196,0.6289615386831686,0.6959016112919263,0.5854734040573817,0.6289615386831685,1.524803509999765
0.1,0.2,CEC2022_F2,30,400.0330269204453,400.6563346304954,0.5547817878031852,0.6563346304953939,0.5284209261391197,0.5547817878031852,1.5530565533311649
0.1,0.25,CEC2022_F2,30,400.08734037055297,400.6856281357224,0.6956240364681021,0.6856281357224229,0.519249034401156,0.6956240364681022,1.589566616669375
0.15,0.05,CEC2022_F2,30,400.0473664251785,400.6718165668466,0.8274268433613904,0.671816566846591,0.5023755758472532,0.8274268433613904,1.7519623100000898
0.15,0.1,CEC2022_F2,30,400.07998504521265,400.76286253280904,0.7508497785591987,0.7628625328090285,0.5365655209061799,0.7508497785591987,1.5565976166670832
0.15,0.15,CEC2022_F2,30,400.11301883222063,400.8849863033189,1.065607486468344,0.8849863033188531,0.5081969335251699,1.065607486468344,1.5217148500009594
0.15,0.2,CEC2022_F2,30,400.0976268996231,400.7670830875339,0.9242539660778848,0.7670830875338955,0.5455810148393709,0.9242539660778846,1.6414956133317902
0.15,0.25,CEC2022_F2,30,400.1514272060878,400.8658996210089,0.9487268544470007,0.8658996210090398,0.6100751070416948,0.9487268544470007,1.5944054899989473
0.2,0.05,CEC2022_F2,30,400.11837955119944,400.67449713917193,0.6976012019223315,0.6744971391720356,0.5347233463252792,0.6976012019223315,1.5340466733352514
0.2,0.1,CEC2022_F2,30,400.10560458003306,400.6291310248165,0.46154250784798817,0.6291310248165587,0.4755045125869515,0.4615425078479881,1.5374936233303742
0.2,0.15,CEC2022_F2,30,400.01290634310226,400.7308871196115,0.467986326339278,0.7308871196114902,0.644241246210612,0.46798632633927795,1.5481777766700058
0.2,0.2,CEC2022_F2,30,400.092033526708,400.74859252279725,0.9832434319539564,0.748592522797361,0.5258579059073725,0.9832434319539564,1.5627093233342748
0.2,0.25,CEC2022_F2,30,400.0855180388729,400.77055845659294,0.789361131065426,0.7705584565929958,0.5199506516841268,0.789361131065426,1.6911114233303428
0.25,0.05,CEC2022_F2,30,400.0267772480897,400.5867847200388,0.4788042601535751,0.586784720038825,0.519571947320685,0.4788042601535751,1.5771141799972004
0.25,0.1,CEC2022_F2,30,400.07788838721785,400.5591753331559,0.4704886696767838,0.5591753331560255,0.412213032453451,0.4704886696767838,1.5854686766697947
0.25,0.15,CEC2022_F2,30,400.12052939051927,400.6371487820099,0.4747738957980264,0.6371487820099068,0.4628962003745585,0.4747738957980264,1.593318789996556
0.25,0.2,CEC2022_F2,30,400.03312519292103,400.86565337174545,0.9683681095024633,0.8656533717454067,0.5334733897470585,0.9683681095024633,1.608466370004074
0.25,0.25,CEC2022_F2,30,400.0978703938827,400.8811229238811,0.966083328479469,0.881122923881162,0.4679743151326079,0.966083328479469,1.6290304133348399
0.05,0.05,CEC2022_F3,30,600.0155638818767,600.0481699908221,0.023900067328128233,0.048169990822331483,0.048800686691151896,0.023900067328128233,1.4185564666646922
0.05,0.1,CEC2022_F3,30,600.0135174375649,600.0438921322991,0.02106815619951382,0.04389213229907606,0.03859564312517705,0.02106815619951382,1.4300489499990363
0.05,0.15,CEC2022_F3,30,600.0174024687569,600.0492844995485,0.01972452078934396,0.049284499548601465,0.051490937776520695,0.019724520789343968,1.4379708233328226
0.05,0.2,CEC2022_F3,30,600.013478972219,600.0386703956461,0.016935819736392074,0.03867039564610195,0.03936856362167873,0.016935819736392077,1.451392563333502
0.05,0.25,CEC2022_F3,30,600.0189315052152,600.0521337670671,0.024133883785367412,0.05213376706723617,0.04465961975569144,0.024133883785367412,1.4561154866649304
0.1,0.05,CEC2022_F3,30,600.0088500756206,600.0353399106046,0.016193976611928385,0.03533991060455719,0.032232730771909246,0.016193976611928385,1.4492076133319642
0.1,0.1,CEC2022_F3,30,600.0117936041772,600.0378744004445,0.020282361159672087,0.03787440044454418,0.03357856453374097,0.020282361159672087,1.4556970999964203
0.1,0.15,CEC2022_F3,30,600.0156180011908,600.0389718391168,0.012457006995859759,0.03897183911683063,0.039940294659174924,0.01245700699585976,1.4646578533351808
0.1,0.2,CEC2022_F3,30,600.0126723819876,600.0441356858203,0.019310338204563744,0.044135685820166755,0.040623744087668,0.019310338204563744,1.4714393699949142
0.1,0.25,CEC2022_F3,30,600.0195876400738,600.0438751641088,0.017153721407124834,0.04387516410880229,0.03965208001170595,0.01715372140712483,1.4833922100010872
0.15,0.05,CEC2022_F3,30,600.0072131208815,600.0315967705361,0.012418952832741387,0.03159677053631261,0.03162685571987822,0.012418952832741387,1.4841186066672283
0.15,0.1,CEC2022_F3,30,600.0128555796803,600.0353964464719,0.013751469988671808,0.03539644647186909,0.03235798761198794,0.013751469988671808,1.4860873099979168
0.15,0.15,CEC2022_F3,30,600.007506645562,600.0335336789637,0.016340989293422682,0.03353367896401096,0.032193436625220784,0.016340989293422682,1.498911183332287
0.15,0.2,CEC2022_F3,30,600.0104203779495,600.0350730019337,0.013463635522873135,0.03507300193365381,0.03595115852266417,0.013463635522873135,1.507600650000192
0.15,0.25,CEC2022_F3,30,600.0108384873038,600.0352942934156,0.017864114674846127,0.03529429341562036,0.0316449705618993,0.017864114674846127,1.5229194266653698
0.2,0.05,CEC2022_F3,30,600.014897601105,600.0323768145179,0.0156993805766854,0.03237681451784435,0.02862927571658247,0.0156993805766854,1.493651619994974
